Date,LogReturn
1960-06-01,-0.012340346800309376
1960-06-02,0.01009616131740998
1960-06-03,0.0007342302789519195
1960-06-07,0.0068626771214876925
1960-06-08,-0.005913296305346982
1960-06-09,-0.007164145137442901
1960-06-10,0.028121398631258288
1960-06-13,0.016214193539190624
1960-06-14,0.013805846775995612
1960-06-15,0.013172953202161608
1960-06-20,0.018278527172616243
1960-06-21,0.00035741943550782196
1960-06-22,0.014075576876456886
1960-06-23,0.009992194628448914
1960-06-24,0.006394612468702654
1960-06-27,0.01627418734401065
1960-06-28,-0.005585863706144778
1960-06-29,-0.004181270590152053
1960-06-30,0.020152578829776502
1960-07-01,0.023497791956164527
1960-07-04,0.02089771657139572
1960-07-05,-0.018446465938527723
1960-07-06,-0.024356491642122613
1960-07-07,0.023131617404208882
1960-07-08,-0.00095168381999855
